DBN,School Name,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2017-18,190,0,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,0.521,91,0.479,20,0.105,52,0.274,110,0.579,1,0.005,1,0.005,6,0.032,0,0,49,0.258,8,0.042,161,84.7%,89.0%
01M015,P.S. 015 Roberto Clemente,2018-19,174,0,13,20,33,30,30,20,28,0,0,0,0,0,0,0,85,0.489,89,0.511,24,0.138,48,0.276,95,0.546,0,0,1,0.006,6,0.034,0,0,39,0.224,8,0.046,147,84.5%,88.8%
01M015,P.S. 015 Roberto Clemente,2019-20,190,0,14,29,28,38,33,29,19,0,0,0,0,0,0,0,94,0.495,96,0.505,27,0.142,56,0.295,96,0.505,0,0,2,0.011,9,0.047,0,0,46,0.242,17,0.089,155,81.6%,86.7%
01M015,P.S. 015 Roberto Clemente,2020-21,193,0,17,29,29,27,30,32,29,0,0,0,0,0,0,0,101,0.523,92,0.477,26,0.135,53,0.275,102,0.528,1,0.005,0,0,11,0.057,0,0,44,0.228,21,0.109,161,83.4%,86.4%
01M015,P.S. 015 Roberto Clemente,2021-22,179,0,15,30,26,24,22,33,29,0,0,0,0,0,0,0,96,0.536,83,0.464,21,0.117,50,0.279,93,0.52,3,0.017,0,0,12,0.067,0,0,38,0.212,11,0.061,150,83.8%,87.9%
01M019,P.S. 019 Asher Levy,2017-18,257,0,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,0.444,143,0.556,23,0.089,49,0.191,166,0.646,3,0.012,0,0,16,0.062,0,0,90,0.35,8,0.031,198,77.0%,67.9%
01M019,P.S. 019 Asher Levy,2018-19,249,0,10,30,39,43,41,44,42,0,0,0,0,0,0,0,114,0.458,135,0.542,14,0.056,52,0.209,156,0.627,8,0.032,1,0.004,18,0.072,0,0,102,0.41,8,0.032,183,73.5%,68.7%
01M019,P.S. 019 Asher Levy,2019-20,236,0,16,25,27,39,45,42,42,0,0,0,0,0,0,0,110,0.466,126,0.534,11,0.047,49,0.208,148,0.627,8,0.034,1,0.004,19,0.081,0,0,94,0.398,8,0.034,176,74.6%,70.4%
01M019,P.S. 019 Asher Levy,2020-21,212,0,13,23,25,27,38,44,42,0,0,0,0,0,0,0,99,0.467,113,0.533,13,0.061,41,0.193,130,0.613,7,0.033,1,0.005,17,0.08,3,0.014,87,0.41,9,0.042,152,71.7%,69.6%
01M019,P.S. 019 Asher Levy,2021-22,176,9,7,22,20,22,23,34,39,0,0,0,0,0,0,0,83,0.472,93,0.528,10,0.057,32,0.182,101,0.574,8,0.045,1,0.006,21,0.119,3,0.017,72,0.409,6,0.034,124,70.5%,67.8%
01M020,P.S. 020 Anna Silver,2017-18,497,0,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,0.491,253,0.509,147,0.296,51,0.103,264,0.531,14,0.028,4,0.008,16,0.032,1,0.002,118,0.237,86,0.173,366,73.6%,80.0%
01M020,P.S. 020 Anna Silver,2018-19,481,0,42,61,69,76,67,90,76,0,0,0,0,0,0,0,239,0.497,242,0.503,138,0.287,66,0.137,239,0.497,12,0.025,3,0.006,22,0.046,1,0.002,117,0.243,63,0.131,326,67.8%,75.4%
01M020,P.S. 020 Anna Silver,2019-20,464,0,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,0.502,231,0.498,120,0.259,58,0.125,239,0.515,10,0.022,5,0.011,31,0.067,1,0.002,106,0.228,61,0.131,354,76.3%,78.4%
01M020,P.S. 020 Anna Silver,2020-21,412,0,37,58,52,60,66,74,65,0,0,0,0,0,0,0,201,0.488,211,0.512,102,0.248,55,0.133,215,0.522,6,0.015,3,0.007,30,0.073,1,0.002,92,0.223,49,0.119,297,72.1%,77.0%
01M020,P.S. 020 Anna Silver,2021-22,351,0,42,52,50,42,48,51,66,0,0,0,0,0,0,0,169,0.481,182,0.519,69,0.197,53,0.151,192,0.547,6,0.017,3,0.009,27,0.077,1,0.003,74,0.211,35,0.1,246,70.1%,75.3%
01M034,P.S. 034 Franklin D. Roosevelt,2017-18,333,0,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,0.45,183,0.55,11,0.033,106,0.318,204,0.613,0,0,2,0.006,9,0.027,1,0.003,124,0.372,25,0.075,Above 95%,Above 95%,93.7%
01M034,P.S. 034 Franklin D. Roosevelt,2018-19,305,0,17,26,20,16,21,43,40,39,44,39,0,0,0,0,145,0.475,160,0.525,8,0.026,102,0.334,182,0.597,0,0,3,0.01,9,0.03,1,0.003,117,0.384,22,0.072,Above 95%,Above 95%,94.8%
01M034,P.S. 034 Franklin D. Roosevelt,2019-20,296,0,17,24,26,16,18,21,43,43,40,48,0,0,0,0,141,0.476,155,0.524,7,0.024,107,0.361,172,0.581,0,0,2,0.007,8,0.027,0,0,117,0.395,17,0.057,Above 95%,Above 95%,Above 95%
01M034,P.S. 034 Franklin D. Roosevelt,2020-21,273,0,12,19,24,27,16,17,23,48,43,44,0,0,0,0,126,0.462,147,0.538,7,0.026,104,0.381,152,0.557,1,0.004,1,0.004,8,0.029,0,0,108,0.396,17,0.062,Above 95%,Above 95%,Above 95%
01M034,P.S. 034 Franklin D. Roosevelt,2021-22,258,10,9,15,21,25,27,17,21,28,47,38,0,0,0,0,116,0.45,142,0.55,8,0.031,107,0.415,136,0.527,0,0,1,0.004,6,0.023,0,0,88,0.341,16,0.062,Above 95%,Above 95%,94.4%
01M063,The STAR Academy - P.S.63,2017-18,203,0,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,0.493,103,0.507,6,0.03,37,0.182,128,0.631,8,0.039,0,0,24,0.118,0,0,67,0.33,2,0.01,166,81.8%,76.2%
01M063,The STAR Academy - P.S.63,2018-19,230,0,23,49,41,28,40,25,24,0,0,0,0,0,0,0,104,0.452,126,0.548,4,0.017,45,0.196,150,0.652,9,0.039,0,0,22,0.096,0,0,77,0.335,4,0.017,177,77.0%,73.7%
01M063,The STAR Academy - P.S.63,2019-20,229,0,26,40,34,38,30,32,29,0,0,0,0,0,0,0,104,0.454,125,0.546,9,0.039,39,0.17,157,0.686,6,0.026,1,0.004,17,0.074,0,0,71,0.31,5,0.022,177,77.3%,78.4%
01M063,The STAR Academy - P.S.63,2020-21,208,0,17,37,31,33,34,26,30,0,0,0,0,0,0,0,99,0.476,109,0.524,6,0.029,40,0.192,132,0.635,7,0.034,1,0.005,19,0.091,3,0.014,59,0.284,3,0.014,162,77.9%,76.5%
01M063,The STAR Academy - P.S.63,2021-22,186,15,10,23,34,27,30,26,21,0,0,0,0,0,0,0,90,0.484,96,0.516,3,0.016,38,0.204,120,0.645,7,0.038,1,0.005,14,0.075,3,0.016,60,0.323,3,0.016,139,74.7%,70.4%
01M064,P.S. 064 Robert Simon,2017-18,245,0,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,0.412,144,0.588,11,0.045,51,0.208,167,0.682,3,0.012,0,0,13,0.053,0,0,73,0.298,5,0.02,226,92.2%,88.2%
