DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2014-15,183,18,27,47,31,19,17,24,0,0,0,0,0,0,0,84,0.459,99,0.541,8,0.044,65,0.355,107,0.585,1,0.005,2,0.011,64,0.35,17,0.093,169,0.923,0.93
01M015,P.S. 015 Roberto Clemente,2015-16,176,14,32,33,39,23,17,18,0,0,0,0,0,0,0,83,0.472,93,0.528,9,0.051,57,0.324,105,0.597,3,0.017,2,0.011,60,0.341,16,0.091,149,0.847,0.889
01M015,P.S. 015 Roberto Clemente,2016-17,178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,83,0.466,95,0.534,14,0.079,51,0.287,105,0.59,4,0.022,4,0.022,51,0.287,12,0.067,152,0.854,0.882
01M015,P.S. 015 Roberto Clemente,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,0.521,91,0.479,20,0.105,52,0.274,110,0.579,2,0.011,6,0.032,49,0.258,8,0.042,161,0.847,0.89
01M015,P.S. 015 Roberto Clemente,2018-19,174,13,20,33,30,30,20,28,0,0,0,0,0,0,0,85,0.489,89,0.511,24,0.138,48,0.276,95,0.546,1,0.006,6,0.034,38,0.218,8,0.046,145,0.833,0.88
01M019,P.S. 019 Asher Levy,2014-15,270,30,44,40,39,35,40,42,0,0,0,0,0,0,0,132,0.489,138,0.511,30,0.111,47,0.174,158,0.585,8,0.03,27,0.1,82,0.304,18,0.067,200,0.741,0.605
01M019,P.S. 019 Asher Levy,2015-16,270,21,47,43,41,43,35,40,0,0,0,0,0,0,0,125,0.463,145,0.537,27,0.1,55,0.204,169,0.626,3,0.011,16,0.059,82,0.304,13,0.048,217,0.804,0.625
01M019,P.S. 019 Asher Levy,2016-17,271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,127,0.469,144,0.531,24,0.089,51,0.188,180,0.664,1,0.004,15,0.055,88,0.325,9,0.033,207,0.764,0.578
01M019,P.S. 019 Asher Levy,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,0.444,143,0.556,23,0.089,49,0.191,166,0.646,3,0.012,16,0.062,90,0.35,8,0.031,198,0.77,0.679
01M019,P.S. 019 Asher Levy,2018-19,249,10,30,39,43,41,44,42,0,0,0,0,0,0,0,114,0.458,135,0.542,14,0.056,52,0.209,156,0.627,9,0.036,18,0.072,92,0.369,8,0.032,180,0.723,0.668
01M020,P.S. 020 Anna Silver,2014-15,633,51,102,108,100,98,104,70,0,0,0,0,0,0,0,301,0.476,332,0.524,231,0.365,53,0.084,309,0.488,15,0.024,25,0.039,144,0.227,120,0.19,411,0.649,0.718
01M020,P.S. 020 Anna Silver,2015-16,581,46,82,90,98,92,81,92,0,0,0,0,0,0,0,277,0.477,304,0.523,204,0.351,46,0.079,286,0.492,21,0.036,24,0.041,123,0.212,88,0.151,353,0.608,0.674
01M020,P.S. 020 Anna Silver,2016-17,540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,265,0.491,275,0.509,175,0.324,52,0.096,264,0.489,22,0.041,27,0.05,116,0.215,93,0.172,315,0.583,0.677
01M020,P.S. 020 Anna Silver,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,0.491,253,0.509,147,0.296,51,0.103,264,0.531,19,0.038,16,0.032,118,0.237,86,0.173,366,0.736,0.8
01M020,P.S. 020 Anna Silver,2018-19,481,42,61,69,76,67,90,76,0,0,0,0,0,0,0,239,0.497,242,0.503,138,0.287,66,0.137,239,0.497,16,0.033,22,0.046,115,0.239,63,0.131,316,0.657,0.738
