DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
01M015,P.S. 015 Roberto Clemente,192,59,30.7%,21,15,6,36
01M019,P.S. 019 Asher Levy,212,24,11.3%,14,s,s,9
01M020,P.S. 020 Anna Silver,417,57,13.7%,33,17,16,18
01M034,P.S. 034 Franklin D. Roosevelt,284,61,21.5%,37,22,15,24
01M063,The STAR Academy - P.S.63,215,38,17.7%,18,11,7,18
01M064,P.S. 064 Robert Simon,229,43,18.8%,15,s,s,27
01M110,P.S. 110 Florence Nightingale,375,50,13.3%,19,11,8,30
01M134,P.S. 134 Henrietta Szold,210,41,19.5%,16,s,s,20
01M140,P.S. 140 Nathan Straus,362,84,23.2%,32,19,13,47
01M142,P.S. 142 Amalia Castro,337,78,23.1%,20,s,s,55
01M184,P.S. 184m Shuang Wen,722,81,11.2%,s,s,s,79
01M188,P.S. 188 The Island School,398,160,40.2%,93,69,24,57
01M292,Orchard Collegiate Academy,296,35,11.8%,15,8,7,19
01M315,The East Village Community School,308,11,3.6%,s,s,s,9
01M332,University Neighborhood Middle School,208,41,19.7%,16,9,7,23
01M361,The Children's Workshop School,305,23,7.5%,s,s,s,16
01M363,Neighborhood School,299,7,2.3%,s,s,s,s
01M364,Earth School,293,43,14.7%,7,s,s,35
01M378,School for Global Leaders,191,24,12.6%,11,s,s,13
01M444,Home Schooling,94,16,17.0%,13,6,7,s
01M448,University Neighborhood High School,567,47,8.3%,7,s,s,38
01M450,East Side Community School,691,75,10.9%,13,s,s,58
01M458,Forsyth Satellite Academy,168,17,10.1%,12,6,6,s
01M515,Lower East Side Preparatory High School,518,75,14.5%,17,8,9,53
01M539,"New Explorations into Science, Technology and Math",1797,11,0.6%,s,s,s,8
01M650,Cascades High School,174,14,8.0%,7,s,s,s
01M696,Bard High School Early College,641,15,2.3%,s,s,s,10
01M700,Universal Pre-K C.B.O.,465,20,4.3%,12,s,s,7
01M839,Tompkins Square Middle School,354,28,7.9%,s,s,s,25
02M001,P.S. 001 Alfred E. Smith,243,22,9.1%,16,s,s,6
02M002,P.S. 002 Meyer London,425,65,15.3%,19,s,s,46
02M003,P.S. 003 Charrette School,611,s,s,s,s,s,s
02M006,P.S. 006 Lillie D. Blake,609,s,s,s,s,s,s
02M011,P.S. 011 William T. Harris,819,43,5.3%,18,10,8,22
02M033,P.S. 033 Chelsea Prep,563,55,9.8%,38,32,6,16
02M040,P.S. 040 Augustus Saint-Gaudens,742,6,0.8%,s,s,s,s
02M041,P.S. 041 Greenwich Village,561,s,s,s,s,s,s
02M042,P.S. 042 Benjamin Altman,548,18,3.3%,s,s,s,14
02M047,47 The American Sign Language and English Secondar,222,29,13.1%,16,6,10,13
02M051,P.S. 051 Elias Howe,476,84,17.6%,64,57,7,18
02M059,P.S. 059 Beekman Hill International,609,s,s,s,s,s,s
02M077,P.S. 77 Lower Lab School,353,s,s,s,s,s,s
02M089,P.S. 89,352,s,s,s,s,s,s
02M104,J.H.S. 104 Simon Baruch,1035,44,4.3%,16,s,s,27
02M111,P.S. 111 Adolph S. Ochs,400,64,16.0%,46,s,s,18
02M114,East Side Middle School,447,s,s,s,s,s,s
02M116,P.S. 116 Mary Lindley Murray,424,47,11.1%,39,33,6,6
02M124,P.S. 124 Yung Wing,655,7,1.1%,s,s,s,s
02M126,P.S. 126 Jacob August Riis,689,138,20.0%,s,s,s,134
02M130,P.S. 130 Hernando De Soto,754,6,0.8%,s,s,s,s
02M131,M.S. 131,257,41,16.0%,9,s,s,31
02M135,The Urban Assembly School for Emergency Management,271,33,12.2%,12,s,s,17
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,407,36,8.8%,17,7,10,16
02M150,P.S. 150,182,s,s,s,s,s,s
02M151,Yorkville Community School,433,19,4.4%,s,s,s,14
02M158,P.S. 158 Bayard Taylor,699,10,1.4%,s,s,s,s
02M167,J.H.S. 167 Robert F. Wagner,1331,46,3.5%,6,s,s,27
02M177,Yorkville East Middle School,241,8,3.3%,s,s,s,s
02M183,P.S. 183 Robert L. Stevenson,561,s,s,s,s,s,s
02M198,P.S. 198 Isador E. Ida Straus,474,s,s,s,s,s,s
02M212,P.S. 212 Midtown West,329,13,4.0%,s,s,s,8
02M217,P.S./I.S. 217 Roosevelt Island,662,8,1.2%,s,s,s,s
02M225,Ella Baker School,346,16,4.6%,7,s,s,9
02M234,P.S. 234 Independence School,475,s,s,s,s,s,s
02M255,M.S. 255 Salk School of Science,363,s,s,s,s,s,s
02M260,The Clinton School,800,10,1.3%,s,s,s,7
02M267,"East Side Elementary School, PS 267",415,s,s,s,s,s,s
02M276,Battery Park City School,817,11,1.3%,s,s,s,9
02M280,Manhattan Early College School for Advertising,475,36,7.6%,20,6,14,14
02M281,The River School,472,12,2.5%,s,s,s,9
02M282,Urban Assembly Maker Academy,489,45,9.2%,19,8,11,23
02M288,Food and Finance High School,409,41,10.0%,18,8,10,18
02M289,I.S. 289,268,6,2.2%,s,s,s,s
02M290,P.S. 290 Manhattan New School,555,s,s,s,s,s,s
02M294,Essex Street Academy,370,12,3.2%,s,s,s,6
02M296,High School of Hospitality Management,320,31,9.7%,10,s,s,19
02M297,M.S. 297,832,72,8.7%,41,29,12,28
02M298,Pace High School,583,34,5.8%,12,s,s,20
02M300,"Urban Assembly School of Design and Construction,",257,31,12.1%,12,s,s,15
02M303,"Facing History School, The",330,46,13.9%,17,7,10,26
02M305,"Urban Assembly Academy of Government and Law, The",337,27,8.0%,15,s,s,10
02M308,Lower Manhattan Arts Academy,343,39,11.4%,17,s,s,20
02M312,New York City Lab Middle School for Collaborative,580,s,s,s,s,s,s
02M313,"James Baldwin School, The: A School for Expedition",215,17,7.9%,10,s,s,s
02M316,"Urban Assembly School of Business for Young Women,",146,20,13.7%,7,s,s,9
02M340,Sixth Avenue Elementary School,370,7,1.9%,s,s,s,6
02M343,The Peck Slip School,434,8,1.8%,s,s,s,s
02M347,The 47 American Sign Language & English Lower Scho,204,24,11.8%,8,s,s,11
02M374,Gramercy Arts High School,478,28,5.9%,15,s,s,11
02M376,NYC iSchool,486,16,3.3%,s,s,s,11
02M391,District 2 Pre-K Center,636,32,5.0%,s,s,s,s
02M392,Manhattan Business Academy,409,48,11.7%,18,9,9,29
02M393,Business Of Sports School,447,58,13.0%,31,15,16,24
02M394,Emma Lazarus High School,257,6,2.3%,s,s,s,6
02M397,Spruce Street School,500,14,2.8%,9,s,s,s
02M399,The High School For Language And Diplomacy,241,28,11.6%,9,s,s,13
02M400,High School for Environmental Studies,1177,51,4.3%,18,6,12,29
02M407,Institute for Collaborative Education,498,16,3.2%,s,s,s,10
02M408,Professional Performing Arts High School,566,20,3.5%,s,s,s,15
02M411,Baruch College Campus High School,497,6,1.2%,s,s,s,6
02M412,N.Y.C. Lab School for Collaborative Studies,489,6,1.2%,s,s,s,6
02M413,School of the Future High School,731,28,3.8%,s,s,s,21
02M414,N.Y.C. Museum School,437,6,1.4%,s,s,s,s
02M416,Eleanor Roosevelt High School,550,s,s,s,s,s,s
02M418,Millennium High School,700,31,4.4%,s,s,s,28
02M419,Landmark High School,366,28,7.7%,10,s,s,14
02M420,High School for Health Professions and Human Servi,1827,123,6.7%,42,18,24,76
02M422,Quest to Learn,630,75,11.9%,30,14,16,40
02M425,Leadership and Public Service High School,296,18,6.1%,7,s,s,11
02M427,Manhattan Academy For Arts & Language,198,67,33.8%,11,s,s,55
02M432,Murray Hill Academy,264,28,10.6%,11,s,s,16
02M437,Hudson High School of Learning Technologies,365,43,11.8%,17,10,7,24
02M438,International High School at Union Square,337,119,35.3%,17,s,s,100
02M439,Manhattan Village Academy,462,16,3.5%,s,s,s,10
02M442,"Ballet Tech, NYC Public School for Dance",142,s,s,s,s,s,s
02M444,Home Schooling,593,22,3.7%,15,9,6,6
02M449,Vanguard High School,428,30,7.0%,11,s,s,15
02M459,Manhattan International High School,299,49,16.4%,s,s,s,43
02M475,Stuyvesant High School,3340,44,1.3%,s,s,s,37
02M489,High School of Economics and Finance,741,60,8.1%,23,8,15,34
02M500,Unity Center for Urban Technologies,333,34,10.2%,13,s,s,21
02M507,Urban Assembly Gateway School for Technology,458,32,7.0%,7,s,s,23
02M519,Talent Unlimited High School,530,11,2.1%,s,s,s,9
02M520,Murry Bergtraum High School for Business Careers,126,16,12.7%,11,s,s,s
02M527,P.S. 527 - East Side School for Social Action,474,13,2.7%,s,s,s,7
02M529,Jacqueline Kennedy Onassis High School,200,20,10.0%,9,s,s,8
02M531,Repertory Company High School for Theatre Arts,241,8,3.3%,s,s,s,6
02M533,Union Square Academy for Health Sciences,411,37,9.0%,10,s,s,23
02M534,Harvest Collegiate High School,480,34,7.1%,11,s,s,22
02M542,Manhattan Bridges High School,518,94,18.1%,13,s,s,80
02M543,New Design High School,508,57,11.2%,27,11,16,25
02M544,Independence High School,358,59,16.5%,35,16,19,18
02M545,High School for Dual Language and Asian Studies,403,63,15.6%,s,s,s,61
02M546,Academy for Software Engineering,450,33,7.3%,13,s,s,15
02M550,Liberty High School Academy for Newcomers,440,146,33.2%,25,16,9,107
02M551,Urban Assembly New York Harbor School,510,28,5.5%,9,s,s,18
02M560,High School M560 - City As School,602,54,9.0%,20,6,14,30
02M565,Urban Academy Laboratory High School,149,8,5.4%,s,s,s,s
02M570,Satellite Academy High School,233,18,7.7%,8,s,s,8
02M575,Manhattan Comprehensive Night and Day High School,833,98,11.8%,46,13,33,40
02M580,Richard R. Green High School of Teaching,293,20,6.8%,8,s,s,10
02M586,Harvey Milk High School,67,8,11.9%,s,s,s,s
02M600,The High School of Fashion Industries,1654,124,7.5%,51,20,31,69
02M605,Humanities Preparatory Academy,256,33,12.9%,s,s,s,28
02M615,Chelsea Career and Technical Education High School,474,42,8.9%,20,s,s,20
02M630,Art and Design High School,1503,52,3.5%,10,s,s,41
02M655,Life Sciences Secondary School,350,28,8.0%,8,s,s,17
02M700,Universal Pre-K C.B.O.,849,42,4.9%,16,s,s,22
02M896,Lower Manhattan Community Middle School,385,9,2.3%,s,s,s,7
02M933,City Knoll Middle School,137,40,29.2%,26,19,7,11
03M009,P.S. 009 Sarah Anderson,531,32,6.0%,8,s,s,24
03M054,J.H.S. 054 Booker T. Washington,841,22,2.6%,7,s,s,14
03M075,P.S. 075 Emily Dickinson,497,58,11.7%,37,s,s,17
03M076,P.S. 076 A. Philip Randolph,324,81,25.0%,48,42,6,33
03M084,P.S. 084 Lillian Weber,647,23,3.6%,7,s,s,13
03M087,P.S. 087 William Sherman,806,s,s,s,s,s,s
03M145,"P.S. 145, The Bloomingdale School",413,50,12.1%,38,29,9,12
03M149,P.S. 149 Sojourner Truth,216,39,18.1%,19,7,12,18
03M163,P.S. 163 Alfred E. Smith,503,48,9.5%,17,s,s,24
03M165,P.S. 165 Robert E. Simon,415,70,16.9%,27,20,7,42
03M166,P.S. 166 The Richard Rodgers School of The Arts an,610,15,2.5%,6,s,s,7
03M180,P.S. 180 Hugo Newman,462,73,15.8%,24,s,s,45
03M185,The Locke School of Arts and Engineering,328,27,8.2%,18,s,s,7
03M191,The Riverside School for Makers and Artists,575,69,12.0%,32,11,21,29
03M199,P.S. 199 Jessie Isador Straus,653,s,s,s,s,s,s
03M241,STEM Institute of Manhattan,115,13,11.3%,7,s,s,6
03M242,P.S. 242 - The Young Diplomats Magnet Academy,137,37,27.0%,22,s,s,13
03M243,M.S. 243 Center School,255,6,2.4%,s,s,s,s
03M245,M.S. M245 The Computer School,421,20,4.8%,s,s,s,18
03M247,M.S. M247 Dual Language Middle School,235,40,17.0%,9,s,s,31
03M250,M.S. 250 West Side Collaborative Middle School,119,12,10.1%,s,s,s,8
03M256,Lafayette Academy,184,15,8.2%,7,s,s,7
03M258,Community Action School - MS 258,232,35,15.1%,19,10,9,16
03M291,West End Secondary School,686,27,3.9%,s,s,s,20
03M299,The Maxine Greene HS for Imaginative Inquiry,196,20,10.2%,7,s,s,13
03M307,"Urban Assembly School for Media Studies, The",381,51,13.4%,15,s,s,34
03M333,P.S. 333 Manhattan School for Children,579,15,2.6%,s,s,s,9
03M334,The Anderson School,518,s,s,s,s,s,s
03M402,The Urban Assembly School for Green Careers,302,37,12.3%,8,s,s,26
03M403,The Global Learning Collaborative,458,66,14.4%,18,s,s,42
03M404,Innovation Diploma Plus,176,20,11.4%,8,s,s,8
03M415,Wadleigh Secondary School for the Performing & Vis,360,55,15.3%,32,18,14,22
03M417,Frank McCourt High School,410,8,2.0%,s,s,s,8
03M421,West Prep Academy,184,29,15.8%,13,s,s,14
03M444,Home Schooling,368,9,2.4%,s,s,s,s
03M452,P.S. 452,399,9,2.3%,6,s,s,s
03M479,Beacon High School,1524,14,0.9%,s,s,s,10
03M485,Fiorello H. LaGuardia High School of Music & Art a,2733,16,0.6%,s,s,s,12
03M492,"High School for Law, Advocacy and Community Justic",392,52,13.3%,25,10,15,23
03M494,High School of Arts and Technology,456,41,9.0%,20,10,10,20
03M505,Edward A. Reynolds West Side High School,265,29,10.9%,14,7,7,12
03M541,Manhattan / Hunter Science High School,454,16,3.5%,s,s,s,14
03M700,Universal Pre-K C.B.O.,674,24,3.6%,21,s,s,s
03M859,Special Music School,303,s,s,s,s,s,s
03M860,Frederick Douglass Academy II Secondary School,339,57,16.8%,34,21,13,17
03M862,Mott Hall II,395,12,3.0%,9,s,s,s
04M007,P.S. 007 Samuel Stern,379,90,23.7%,45,29,16,42
04M012,Tag Young Scholars,578,15,2.6%,s,s,s,11
04M037,River East Elementary,276,37,13.4%,18,11,7,15
04M038,P.S. 38 Roberto Clemente,217,60,27.6%,38,32,6,19
04M057,James Weldon Johnson,620,116,18.7%,37,27,10,78
04M072,The Lexington Academy,567,143,25.2%,70,47,23,70
04M083,P.S. 083 Luis Munoz Rivera,370,40,10.8%,19,12,7,19
04M096,P.S. 096 Joseph Lanzetta,398,101,25.4%,47,31,16,41
04M102,P.S. 102 Jacques Cartier,198,39,19.7%,20,8,12,18
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,427,43,10.1%,19,11,8,21
04M112,P.S. 112 Jose Celso Barbosa,283,25,8.8%,15,s,s,10
04M146,P.S. 146 Ann M. Short,351,84,23.9%,47,38,9,37
04M155,P.S. 155 William Paca,227,46,20.3%,13,s,s,33
04M171,P.S. 171 Patrick Henry,790,78,9.9%,29,s,s,44
04M182,The Bilingual Bicultural School,269,79,29.4%,16,s,s,63
04M206,P.S. 206 Jose Celso Barbosa,454,65,14.3%,25,10,15,37
