DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
01M015,P.S. 015 Roberto Clemente,192,59,0.3072916567,21,15,6,36
01M019,P.S. 019 Asher Levy,212,24,0.1132075489,14,s,s,9
01M020,P.S. 020 Anna Silver,417,57,0.1366906464,33,17,16,18
01M034,P.S. 034 Franklin D. Roosevelt,284,61,0.2147887349,37,22,15,24
01M063,The STAR Academy - P.S.63,215,38,0.1767441928,18,11,7,18
01M064,P.S. 064 Robert Simon,229,43,0.1877729297,15,s,s,27
01M110,P.S. 110 Florence Nightingale,375,50,0.1333333403,19,11,8,30
01M134,P.S. 134 Henrietta Szold,210,41,0.1952380985,16,s,s,20
01M140,P.S. 140 Nathan Straus,362,84,0.2320442051,32,19,13,47
01M142,P.S. 142 Amalia Castro,337,78,0.2314539999,20,s,s,55
01M184,P.S. 184m Shuang Wen,722,81,0.112188369,s,s,s,79
01M188,P.S. 188 The Island School,398,160,0.4020100534,93,69,24,57
01M292,Orchard Collegiate Academy,296,35,0.1182432398,15,8,7,19
01M315,The East Village Community School,308,11,0.0357142873,s,s,s,9
01M332,University Neighborhood Middle School,208,41,0.1971153915,16,9,7,23
01M361,The Children's Workshop School,305,23,0.0754098371,s,s,s,16
01M363,Neighborhood School,299,7,0.0234113708,s,s,s,s
01M364,Earth School,293,43,0.1467576772,7,s,s,35
01M378,School for Global Leaders,191,24,0.1256544441,11,s,s,13
01M444,Home Schooling,94,16,0.1702127606,13,6,7,s
01M448,University Neighborhood High School,567,47,0.0828924179,7,s,s,38
01M450,East Side Community School,691,75,0.108538352,13,s,s,58
01M458,Forsyth Satellite Academy,168,17,0.1011904776,12,6,6,s
01M515,Lower East Side Preparatory High School,518,75,0.1447876394,17,8,9,53
01M539,"New Explorations into Science, Technology and Math",1797,11,0.0061213132,s,s,s,8
01M650,Cascades High School,174,14,0.0804597735,7,s,s,s
01M696,Bard High School Early College,641,15,0.0234009363,s,s,s,10
01M700,Universal Pre-K C.B.O.,465,20,0.0430107526,12,s,s,7
01M839,Tompkins Square Middle School,354,28,0.0790960416,s,s,s,25
02M001,P.S. 001 Alfred E. Smith,243,22,0.0905349776,16,s,s,6
02M002,P.S. 002 Meyer London,425,65,0.1529411823,19,s,s,46
02M003,P.S. 003 Charrette School,611,s,s,s,s,s,s
02M006,P.S. 006 Lillie D. Blake,609,s,s,s,s,s,s
02M011,P.S. 011 William T. Harris,819,43,0.0525030531,18,10,8,22
02M033,P.S. 033 Chelsea Prep,563,55,0.0976909399,38,32,6,16
02M040,P.S. 040 Augustus Saint-Gaudens,742,6,0.008086253,s,s,s,s
02M041,P.S. 041 Greenwich Village,561,s,s,s,s,s,s
02M042,P.S. 042 Benjamin Altman,548,18,0.0328467153,s,s,s,14
02M047,47 The American Sign Language and English Secondar,222,29,0.1306306273,16,6,10,13
02M051,P.S. 051 Elias Howe,476,84,0.1764705926,64,57,7,18
02M059,P.S. 059 Beekman Hill International,609,s,s,s,s,s,s
02M077,P.S. 77 Lower Lab School,353,s,s,s,s,s,s
02M089,P.S. 89,352,s,s,s,s,s,s
02M104,J.H.S. 104 Simon Baruch,1035,44,0.0425120778,16,s,s,27
02M111,P.S. 111 Adolph S. Ochs,400,64,0.1599999964,46,s,s,18
02M114,East Side Middle School,447,s,s,s,s,s,s
02M116,P.S. 116 Mary Lindley Murray,424,47,0.1108490601,39,33,6,6
02M124,P.S. 124 Yung Wing,655,7,0.0106870225,s,s,s,s
02M126,P.S. 126 Jacob August Riis,689,138,0.2002902776,s,s,s,134
02M130,P.S. 130 Hernando De Soto,754,6,0.00795756,s,s,s,s
02M131,M.S. 131,257,41,0.1595330685,9,s,s,31
02M135,The Urban Assembly School for Emergency Management,271,33,0.1217712164,12,s,s,17
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,407,36,0.0884520859,17,7,10,16
02M150,P.S. 150,182,s,s,s,s,s,s
02M151,Yorkville Community School,433,19,0.0438799076,s,s,s,14
02M158,P.S. 158 Bayard Taylor,699,10,0.0143061513,s,s,s,s
02M167,J.H.S. 167 Robert F. Wagner,1331,46,0.0345604792,6,s,s,27
02M177,Yorkville East Middle School,241,8,0.0331950225,s,s,s,s
02M183,P.S. 183 Robert L. Stevenson,561,s,s,s,s,s,s
02M198,P.S. 198 Isador E. Ida Straus,474,s,s,s,s,s,s
02M212,P.S. 212 Midtown West,329,13,0.0395136774,s,s,s,8
02M217,P.S./I.S. 217 Roosevelt Island,662,8,0.0120845921,s,s,s,s
02M225,Ella Baker School,346,16,0.0462427735,7,s,s,9
02M234,P.S. 234 Independence School,475,s,s,s,s,s,s
02M255,M.S. 255 Salk School of Science,363,s,s,s,s,s,s
02M260,The Clinton School,800,10,0.0125000002,s,s,s,7
02M267,"East Side Elementary School, PS 267",415,s,s,s,s,s,s
02M276,Battery Park City School,817,11,0.013463892,s,s,s,9
02M280,Manhattan Early College School for Advertising,475,36,0.075789474,20,6,14,14
02M281,The River School,472,12,0.0254237279,s,s,s,9
02M282,Urban Assembly Maker Academy,489,45,0.0920245424,19,8,11,23
02M288,Food and Finance High School,409,41,0.1002444997,18,8,10,18
02M289,I.S. 289,268,6,0.0223880596,s,s,s,s
02M290,P.S. 290 Manhattan New School,555,s,s,s,s,s,s
02M294,Essex Street Academy,370,12,0.0324324332,s,s,s,6
02M296,High School of Hospitality Management,320,31,0.096874997,10,s,s,19
02M297,M.S. 297,832,72,0.0865384638,41,29,12,28
02M298,Pace High School,583,34,0.0583190396,12,s,s,20
02M300,"Urban Assembly School of Design and Construction,",257,31,0.1206225678,12,s,s,15
02M303,"Facing History School, The",330,46,0.1393939406,17,7,10,26
02M305,"Urban Assembly Academy of Government and Law, The",337,27,0.0801186934,15,s,s,10
02M308,Lower Manhattan Arts Academy,343,39,0.113702625,17,s,s,20
02M312,New York City Lab Middle School for Collaborative,580,s,s,s,s,s,s
02M313,"James Baldwin School, The: A School for Expedition",215,17,0.0790697709,10,s,s,s
02M316,"Urban Assembly School of Business for Young Women,",146,20,0.1369863003,7,s,s,9
02M340,Sixth Avenue Elementary School,370,7,0.0189189184,s,s,s,6
02M343,The Peck Slip School,434,8,0.0184331797,s,s,s,s
02M347,The 47 American Sign Language & English Lower Scho,204,24,0.1176470593,8,s,s,11
02M374,Gramercy Arts High School,478,28,0.0585774072,15,s,s,11
02M376,NYC iSchool,486,16,0.0329218097,s,s,s,11
02M391,District 2 Pre-K Center,636,32,0.0503144637,s,s,s,s
02M392,Manhattan Business Academy,409,48,0.1173594147,18,9,9,29
02M393,Business Of Sports School,447,58,0.1297539175,31,15,16,24
02M394,Emma Lazarus High School,257,6,0.023346303,s,s,s,6
02M397,Spruce Street School,500,14,0.0280000009,9,s,s,s
02M399,The High School For Language And Diplomacy,241,28,0.1161825731,9,s,s,13
02M400,High School for Environmental Studies,1177,51,0.0433305018,18,6,12,29
02M407,Institute for Collaborative Education,498,16,0.0321285129,s,s,s,10
02M408,Professional Performing Arts High School,566,20,0.0353356898,s,s,s,15
02M411,Baruch College Campus High School,497,6,0.0120724346,s,s,s,6
02M412,N.Y.C. Lab School for Collaborative Studies,489,6,0.0122699384,s,s,s,6
02M413,School of the Future High School,731,28,0.0383036919,s,s,s,21
02M414,N.Y.C. Museum School,437,6,0.0137299774,s,s,s,s
02M416,Eleanor Roosevelt High School,550,s,s,s,s,s,s
02M418,Millennium High School,700,31,0.0442857146,s,s,s,28
02M419,Landmark High School,366,28,0.0765027329,10,s,s,14
02M420,High School for Health Professions and Human Servi,1827,123,0.0673234835,42,18,24,76
02M422,Quest to Learn,630,75,0.1190476194,30,14,16,40
02M425,Leadership and Public Service High School,296,18,0.0608108118,7,s,s,11
02M427,Manhattan Academy For Arts & Language,198,67,0.3383838236,11,s,s,55
02M432,Murray Hill Academy,264,28,0.1060606092,11,s,s,16
02M437,Hudson High School of Learning Technologies,365,43,0.1178082228,17,10,7,24
02M438,International High School at Union Square,337,119,0.3531157374,17,s,s,100
02M439,Manhattan Village Academy,462,16,0.0346320346,s,s,s,10
02M442,"Ballet Tech, NYC Public School for Dance",142,s,s,s,s,s,s
02M444,Home Schooling,593,22,0.0370994955,15,9,6,6
02M449,Vanguard High School,428,30,0.0700934604,11,s,s,15
02M459,Manhattan International High School,299,49,0.1638796031,s,s,s,43
02M475,Stuyvesant High School,3340,44,0.0131736528,s,s,s,37
02M489,High School of Economics and Finance,741,60,0.0809716582,23,8,15,34
02M500,Unity Center for Urban Technologies,333,34,0.1021021008,13,s,s,21
02M507,Urban Assembly Gateway School for Technology,458,32,0.0698689967,7,s,s,23
02M519,Talent Unlimited High School,530,11,0.0207547173,s,s,s,9
02M520,Murry Bergtraum High School for Business Careers,126,16,0.1269841343,11,s,s,s
