Borough or District,Data Type,Year,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,GED,Total
1,Historical,2017-18,800,851,846,854,862,839,813,786,798,843,,,,,,8292
1,Projected,2018-19,756,842,850,810,824,838,810,764,768,808,,,,,,8070
1,Projected,2019-20,747,796,841,814,780,805,808,761,745,778,,,,,,7875
1,Projected,2020-21,687,783,795,805,783,760,777,761,742,754,,,,,,7647
1,Projected,2021-22,715,719,782,761,775,761,733,729,742,752,,,,,,7469
1,Projected,2022-23,712,748,717,748,733,757,734,685,711,752,,,,,,7297
1,Projected,2023-24,711,745,747,686,720,716,730,694,666,720,,,,,,7135
1,Projected,2024-25,708,743,744,715,660,703,691,685,676,675,,,,,,7000
1,Projected,2025-26,688,741,742,712,688,642,679,646,669,685,,,,,,6892
1,Projected,2026-27,669,720,741,710,685,672,620,636,630,678,,,,,,6761
1,Projected,2027-28,647,700,720,709,683,669,648,581,620,639,,,,,,6616
2,Historical,2017-18,2558,3193,2961,2873,2750,2777,2864,2743,2580,2548,,,,,,27847
2,Projected,2018-19,2513,2996,3093,2876,2786,2724,2691,2813,2681,2601,,,,,,27774
2,Projected,2019-20,2431,3028,2901,3006,2790,2765,2640,2649,2748,2703,,,,,,27661
2,Projected,2020-21,2418,2945,2935,2817,2913,2772,2680,2600,2591,2769,,,,,,27440
2,Projected,2021-22,2419,2903,2853,2854,2731,2891,2688,2643,2543,2613,,,,,,27138
2,Projected,2022-23,2475,2925,2812,2773,2768,2711,2804,2654,2586,2565,,,,,,27073
2,Projected,2023-24,2531,2992,2832,2734,2689,2753,2629,2767,2598,2610,,,,,,27135
2,Projected,2024-25,2590,3061,2896,2753,2649,2672,2673,2593,2707,2623,,,,,,27217
2,Projected,2025-26,2594,3133,2962,2816,2667,2631,2593,2643,2538,2732,,,,,,27309
2,Projected,2026-27,2600,3142,3032,2880,2727,2649,2555,2563,2588,2562,,,,,,27298
2,Projected,2027-28,2608,3150,3039,2948,2789,2709,2572,2524,2510,2613,,,,,,27462
3,Historical,2017-18,1144,1295,1388,1442,1437,1401,1361,1390,1464,1427,,,,,,13749
