Year,Report Category,Student Category,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject
2023,Citywide,All Students,452.0,26.0,24.1,30.8,19.1,49.9,Math
2022,Citywide,All Students,596.0,38.5,23.5,18.7,19.2,37.9,Math
2019,Citywide,All Students,600.0,30.1,24.4,21.7,23.9,45.6,Math
2018,Citywide,All Students,599.0,32.5,24.9,21.2,21.4,42.7,Math
2017,Citywide,All Students,303.0,33.2,29.0,19.9,17.8,37.8,Math
2016,Citywide,All Students,303.0,32.7,30.9,19.0,17.5,36.4,Math
2015,Citywide,All Students,302.0,33.5,31.3,19.9,15.4,35.2,Math
2014,Citywide,All Students,301.0,33.9,31.8,20.0,14.2,34.2,Math
2013,Citywide,All Students,298.0,36.8,33.6,18.4,11.2,29.6,Math
2023,Citywide,All Students,450.0,22.9,25.4,29.7,22.0,51.7,ELA
2022,Citywide,All Students,602.0,22.5,28.5,26.7,22.3,49.0,ELA
2019,Citywide,All Students,600.0,24.6,28.0,27.7,19.7,47.4,ELA
2018,Citywide,All Students,601.0,23.5,29.8,27.7,19.0,46.7,ELA
2017,Citywide,All Students,306.0,25.8,33.6,25.7,14.9,40.6,ELA
2016,Citywide,All Students,304.0,27.1,34.9,25.3,12.7,38.0,ELA
2015,Citywide,All Students,298.0,33.6,36.0,21.0,9.4,30.4,ELA
2014,Citywide,All Students,296.0,34.7,36.8,20.1,8.4,28.4,ELA
2013,Citywide,All Students,296.0,36.4,37.2,19.0,7.4,26.4,ELA
