Geographic Subdivision,Grade,Year,Student Category,Number Tested,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject
BRONX,All Grades,2023,Asian,3336,454,16.1,22.7,34.8,26.4,61.2,ELA
BRONX,All Grades,2023,Black,15057,441,33.6,30.9,25.7,9.8,35.5,ELA
BRONX,All Grades,2023,Hispanic,42276,440,34.4,31.1,25.1,9.4,34.5,ELA
BRONX,All Grades,2023,Multi-Racial,361,448,27.4,21.3,29.6,21.6,51.2,ELA
BRONX,All Grades,2023,Native American,644,444,28.6,28.7,28.9,13.8,42.7,ELA
BRONX,All Grades,2023,White,2874,449,21.7,27.1,30.4,20.7,51.1,ELA
BRONX,All Grades,2022,Asian,3493,605,16.3,26.1,30.0,27.6,57.5,ELA
BRONX,All Grades,2022,Black,15875,593,34.3,33.9,21.8,10.0,31.8,ELA
BRONX,All Grades,2022,Hispanic,43895,593,35.6,33.8,21.0,9.7,30.7,ELA
BRONX,All Grades,2022,Multi-Racial,349,601,20.1,29.2,30.4,20.3,50.7,ELA
BRONX,All Grades,2022,Native American,679,596,29.3,33.1,25.8,11.8,37.6,ELA
BRONX,All Grades,2022,White,3023,601,22.9,29.9,24.9,22.3,47.2,ELA
BRONX,All Grades,2019,Asian,3972,604,19.3,24.7,30.4,25.7,56.1,ELA
BRONX,All Grades,2019,Black,21552,593,35.3,33.1,22.8,8.8,31.6,ELA
BRONX,All Grades,2019,Hispanic,54323,592,36.0,32.6,22.5,8.8,31.3,ELA
BRONX,All Grades,2019,Multi-Racial,324,599,23.8,30.9,30.9,14.5,45.4,ELA
BRONX,All Grades,2019,Native American,758,596,30.9,29.8,25.7,13.6,39.3,ELA
BRONX,All Grades,2019,White,3867,599,25.4,27.6,28.6,18.3,47.0,ELA
BRONX,All Grades,2018,Asian,3960,604,19.3,24.5,31.6,24.5,56.2,ELA
BRONX,All Grades,2018,Black,22320,594,33.5,35.8,22.6,8.1,30.7,ELA
BRONX,All Grades,2018,Hispanic,54848,593,35.2,34.7,22.2,7.9,30.1,ELA
BRONX,All Grades,2018,Multi-Racial,319,601,21.3,32.9,30.1,15.7,45.8,ELA
BRONX,All Grades,2018,Native American,819,595,30.4,34.9,23.2,11.5,34.7,ELA
BRONX,All Grades,2018,White,3932,600,24.9,28.8,27.8,18.5,46.3,ELA
BRONX,All Grades,2017,Asian,3887,313,20.0,30.3,29.8,20.0,49.7,ELA
