Geographic Subdivision,Student Category,Performance Level,Percentage
BRONX,Asian,Pct Level 1,16.1
BRONX,Black,Pct Level 1,33.6
BRONX,Hispanic,Pct Level 1,34.4
BRONX,Multi-Racial,Pct Level 1,27.4
BRONX,Native American,Pct Level 1,28.6
BRONX,White,Pct Level 1,21.7
BRONX,Asian,Pct Level 1,16.3
BRONX,Black,Pct Level 1,34.3
BRONX,Hispanic,Pct Level 1,35.6
BRONX,Multi-Racial,Pct Level 1,20.1
BRONX,Native American,Pct Level 1,29.3
BRONX,White,Pct Level 1,22.9
BRONX,Asian,Pct Level 1,19.3
BRONX,Black,Pct Level 1,35.3
BRONX,Hispanic,Pct Level 1,36.0
BRONX,Multi-Racial,Pct Level 1,23.8
BRONX,Native American,Pct Level 1,30.9
BRONX,White,Pct Level 1,25.4
BRONX,Asian,Pct Level 1,19.3
BRONX,Black,Pct Level 1,33.5
BRONX,Hispanic,Pct Level 1,35.2
BRONX,Multi-Racial,Pct Level 1,21.3
BRONX,Native American,Pct Level 1,30.4
BRONX,White,Pct Level 1,24.9
BRONX,Asian,Pct Level 1,20.0
BRONX,Black,Pct Level 1,35.9
BRONX,Hispanic,Pct Level 1,38.0
BRONX,Multi-Racial,Pct Level 1,33.7
BRONX,Native American,Pct Level 1,29.2
BRONX,White,Pct Level 1,23.3
BRONX,Asian,Pct Level 1,20.8
BRONX,Black,Pct Level 1,37.9
BRONX,Hispanic,Pct Level 1,39.8
BRONX,Multi-Racial,Pct Level 1,31.9
BRONX,Native American,Pct Level 1,32.5
BRONX,White,Pct Level 1,24.9
BRONX,Asian,Pct Level 1,22.7
BRONX,Black,Pct Level 1,47.4
BRONX,Hispanic,Pct Level 1,47.9
BRONX,Multi-Racial,Pct Level 1,29.0
BRONX,Native American,Pct Level 1,39.9
BRONX,White,Pct Level 1,30.1
BRONX,Asian,Pct Level 1,25.9
BRONX,Black,Pct Level 1,48.2
BRONX,Hispanic,Pct Level 1,49.3
BRONX,Multi-Racial,Pct Level 1,35.2
BRONX,Native American,Pct Level 1,42.6
BRONX,White,Pct Level 1,29.5
BRONX,Asian,Pct Level 1,25.7
BRONX,Black,Pct Level 1,50.9
