District,Year,Attendance Percentage,Number Tested,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject,DBN,Total Enrollment,Economic Need Index,Borough
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M015,174.0,0.888,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M019,249.0,0.687,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M020,481.0,0.754,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M034,305.0,0.948,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M063,230.0,0.737,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M064,223.0,0.895,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M110,372.0,0.594,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M134,281.0,0.916,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M140,385.0,0.9,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M142,353.0,0.912,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M184,678.0,0.672,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M188,407.0,0.95,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M292,197.0,0.875,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M315,333.0,0.349,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M332,209.0,0.816,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M361,320.0,0.534,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M363,306.0,0.46,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M364,350.0,0.579,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M378,250.0,0.8490000000000001,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M448,483.0,0.828,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M450,680.0,0.654,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M458,194.0,0.8540000000000001,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M515,543.0,0.941,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M539,1754.0,0.2689999999999999,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M650,187.0,0.853,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M696,615.0,0.406,Manhattan
01,2018,90.90584564,4183.0,606.0,18.9,27.0,27.2,27.0,54.1,ELA,01M839,362.0,0.6659999999999999,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M015,174.0,0.888,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M019,249.0,0.687,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M020,481.0,0.754,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M034,305.0,0.948,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M063,230.0,0.737,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M064,223.0,0.895,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M110,372.0,0.594,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M134,281.0,0.916,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M140,385.0,0.9,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M142,353.0,0.912,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M184,678.0,0.672,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M188,407.0,0.95,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M292,197.0,0.875,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M315,333.0,0.349,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M332,209.0,0.816,Manhattan
