District,Borough,Year,Present,Absent,Enrolled,Attendance Rate
1,M,2018,152653.0,11647.0,164301.0,0.9291057266845608
1,M,2018,224044.0,16777.0,241101.0,0.9292537152479666
1,M,2018,181007.0,17304.0,198346.0,0.9125820535831324
1,M,2018,150887.0,14584.0,165486.0,0.9117810570078436
1,M,2018,195029.0,22025.0,220156.0,0.8858672941005469
1,M,2018,140367.0,13722.0,154396.0,0.9091362470530324
1,M,2018,200518.0,19460.0,220043.0,0.9112673432011016
1,M,2018,160438.0,15832.0,176503.0,0.9089817170246398
1,M,2018,219210.0,22860.0,242143.0,0.9052915013029492
1,M,2018,126705.0,20945.0,153499.0,0.8254451169062991
1,M,2019,172886.0,12339.0,185248.0,0.9332678355501812
1,M,2019,203684.0,15175.0,218918.0,0.9304123004960762
1,M,2019,170159.0,16092.0,186336.0,0.9131837111454576
1,M,2019,148031.0,16425.0,164462.0,0.9000924225656991
1,M,2019,193155.0,21520.0,218456.0,0.8841826271651957
1,M,2019,149583.0,15095.0,164722.0,0.9080936365512804
1,M,2019,93806.0,15824.0,110133.0,0.8517519726149292
1,M,2020,92585.0,12065.0,104656.0,0.8846602201498242
1,M,2020,198823.0,21983.0,220807.0,0.9004379390146146
1,M,2020,169338.0,20162.0,189522.0,0.8935004907082027
1,M,2020,159916.0,18688.0,178614.0,0.8953161566282598
1,M,2020,178304.0,20772.0,199081.0,0.8956354448691739
1,M,2020,129282.0,13484.0,142781.0,0.9054566083722624
1,M,2020,188322.0,19193.0,207535.0,0.907422844339509
1,M,2020,186698.0,20790.0,207491.0,0.8997884245581736
1,M,2020,176154.0,20833.0,196988.0,0.8942372124190306
1,M,2020,148643.0,27811.0,180871.0,0.8218177596187338
2,M,2018,857329.0,61331.0,918755.0,0.9331421325598228
2,M,2018,1258044.0,88039.0,1346336.0,0.9344205309818648
2,M,2018,1009491.0,89511.0,1099309.0,0.9182959477271632
2,M,2018,831110.0,82022.0,913331.0,0.9099767773129348
2,M,2018,1003485.0,102384.0,1117039.0,0.8983437462792258
2,M,2018,770883.0,76835.0,848633.0,0.9083820685738122
2,M,2018,1102217.0,101389.0,1208031.0,0.9124078769501776
2,M,2018,882349.0,83281.0,965990.0,0.9134142175384838
2,M,2018,1201374.0,123080.0,1325157.0,0.9065899361358692
2,M,2018,618770.0,92808.0,720591.0,0.8586979298936568
2,M,2019,969432.0,68184.0,1037785.0,0.9341356832099136
2,M,2019,1138063.0,82095.0,1221016.0,0.9320623153177354
2,M,2019,953205.0,83845.0,1037760.0,0.9185216234967624
2,M,2019,829245.0,85012.0,914556.0,0.9067186700431684
2,M,2019,1004936.0,103480.0,1119765.0,0.8974525904988994
2,M,2019,826796.0,84382.0,911809.0,0.9067644649263168
2,M,2019,519614.0,80706.0,607878.0,0.8547998118043423
2,M,2020,534548.0,59593.0,594232.0,0.8995611141776276
2,M,2020,1121594.0,124862.0,1246469.0,0.8998170030702729
2,M,2020,956928.0,107164.0,1064884.0,0.8986218217195487
2,M,2020,900617.0,101118.0,1001772.0,0.8990239295967546
2,M,2020,999778.0,113065.0,1112904.0,0.8983506214372489
2,M,2020,710243.0,72147.0,782408.0,0.9077655136450548
2,M,2020,1047499.0,117200.0,1164728.0,0.8993507497029349
2,M,2020,1030920.0,128041.0,1159175.0,0.8893566545172213
2,M,2020,968986.0,131285.0,1100285.0,0.8806681905142758
2,M,2020,789188.0,163101.0,970410.0,0.8132521305427602
3,M,2018,308486.0,18941.0,327455.0,0.942071429662091
3,M,2018,454126.0,27560.0,481742.0,0.9426747096993826
3,M,2018,364464.0,29718.0,394231.0,0.9244935076135564
3,M,2018,302027.0,26163.0,328266.0,0.9200678717869044
3,M,2018,380253.0,35297.0,419047.0,0.907423272329834
3,M,2018,279213.0,25217.0,304828.0,0.9159690054719384
3,M,2018,401155.0,33343.0,435141.0,0.9218965806485714
3,M,2018,321138.0,26267.0,347578.0,0.9239307436028747
3,M,2018,438306.0,38822.0,477380.0,0.9181490636390296
3,M,2018,243239.0,33625.0,281592.0,0.8637993977101622
3,M,2019,348122.0,20814.0,368962.0,0.9435172185753546
3,M,2019,409301.0,24795.0,434168.0,0.9427249359694864
3,M,2019,341729.0,27710.0,369742.0,0.9242363594073706
3,M,2019,296724.0,29574.0,326402.0,0.9090753120385292
3,M,2019,375219.0,36398.0,415639.0,0.9027521478975746
3,M,2019,298024.0,27697.0,325835.0,0.9146469839028956
3,M,2019,187867.0,26266.0,217319.0,0.8644757246260106
3,M,2020,184096.0,19999.0,204095.0,0.902011318258654
3,M,2020,391530.0,35168.0,426698.0,0.9175810526414466
3,M,2020,332930.0,31630.0,364563.0,0.9132303607332616
3,M,2020,312381.0,30746.0,343128.0,0.9103920402881724
3,M,2020,346602.0,35143.0,381749.0,0.907931651425413
3,M,2020,244655.0,26573.0,271234.0,0.9020071230008038
3,M,2020,364156.0,35355.0,399516.0,0.9114929064167644
3,M,2020,360670.0,38620.0,399293.0,0.9032715324335764
3,M,2020,339135.0,39841.0,378978.0,0.894867248230768
3,M,2020,277300.0,45221.0,337131.0,0.82252892792416
4,M,2018,176899.0,11865.0,188767.0,0.937128841375876
4,M,2018,259801.0,17157.0,277052.0,0.937733710639158
4,M,2018,208398.0,18135.0,226564.0,0.919819565332533
4,M,2018,173506.0,15241.0,188788.0,0.919052058393542
4,M,2018,220509.0,25506.0,249428.0,0.8840587263659252
4,M,2018,162268.0,13463.0,175929.0,0.9223493568428172
4,M,2018,231486.0,19103.0,251216.0,0.9214620087892492
4,M,2018,185665.0,15051.0,200800.0,0.9246264940239044
4,M,2018,252843.0,22996.0,275977.0,0.9161741739347844
4,M,2018,139972.0,27127.0,171826.0,0.8146147847240813
4,M,2019,195173.0,12565.0,207747.0,0.939474456911532
4,M,2019,229778.0,15699.0,245501.0,0.9359554543566014
4,M,2019,192273.0,16615.0,208907.0,0.920376052501831
4,M,2019,167464.0,17130.0,184616.0,0.90709364302119
4,M,2019,216535.0,23858.0,242967.0,0.8912115637102981
4,M,2019,169360.0,15545.0,184979.0,0.9155633882765072
4,M,2019,107206.0,15291.0,123407.0,0.8687189543542911
4,M,2020,103193.0,13180.0,116373.0,0.8867434886099009
4,M,2020,220192.0,25256.0,245448.0,0.8971024412502852
4,M,2020,188262.0,22779.0,211041.0,0.8920636274467995
4,M,2020,178037.0,20978.0,199015.0,0.8945908599854282
4,M,2020,199764.0,22148.0,221912.0,0.9001946717617795
4,M,2020,143996.0,15048.0,159044.0,0.9053846734237068
4,M,2020,210527.0,22137.0,232666.0,0.9048464322247342
4,M,2020,210035.0,22729.0,232767.0,0.902340108348692
4,M,2020,199105.0,21983.0,221096.0,0.9005364185693092
4,M,2020,170219.0,28942.0,200703.0,0.8481138797128095
5,M,2018,143160.0,14473.0,157647.0,0.908104816457021
5,M,2018,211997.0,19137.0,231188.0,0.916989636140284
5,M,2018,168043.0,20368.0,188453.0,0.8916971340334194
5,M,2018,140490.0,16316.0,156838.0,0.8957650569377319
5,M,2018,177386.0,24308.0,210963.0,0.8408393888975791
5,M,2018,131284.0,14704.0,146221.0,0.8978464105703011
5,M,2018,186186.0,21282.0,208830.0,0.8915673035483408
5,M,2018,150321.0,16991.0,167391.0,0.898023191210997
5,M,2018,205244.0,24970.0,230338.0,0.8910557528501594
5,M,2018,109623.0,28395.0,151293.0,0.7245741706490055
5,M,2019,154558.0,15206.0,169786.0,0.9103106263178354
5,M,2019,183403.0,17171.0,200631.0,0.9141309169570008
5,M,2019,152638.0,17965.0,170927.0,0.8930011057351969
5,M,2019,132911.0,18099.0,151064.0,0.8798323889212519
5,M,2019,170462.0,23430.0,202221.0,0.8429490507909663
5,M,2019,134249.0,16882.0,151243.0,0.8876377749714036
5,M,2019,84824.0,15210.0,100818.0,0.8413576940625682
5,M,2020,71936.0,18735.0,90671.0,0.7933738461029436
5,M,2020,156355.0,36636.0,192991.0,0.8101673135016659
5,M,2020,138614.0,27077.0,165701.0,0.836530859801691
5,M,2020,130209.0,26470.0,156679.0,0.8310558530498663
5,M,2020,146302.0,28653.0,174965.0,0.8361786643042894
5,M,2020,105850.0,19158.0,125015.0,0.8466983961924569
5,M,2020,157512.0,26879.0,184396.0,0.8542050803705069
5,M,2020,156474.0,27687.0,184172.0,0.8496079751536607
5,M,2020,146284.0,28844.0,175128.0,0.8352976108903202
5,M,2020,122711.0,35776.0,159790.0,0.7679516865886477
6,M,2018,285585.0,24373.0,309963.0,0.9213519032916831
6,M,2018,426165.0,29988.0,456210.0,0.9341421713684488
6,M,2018,343257.0,30384.0,373690.0,0.918560839198266
6,M,2018,284386.0,26878.0,311292.0,0.91356668337124
6,M,2018,365442.0,43084.0,414440.0,0.8817729948846637
6,M,2018,266509.0,23156.0,290120.0,0.9186164345787948
6,M,2018,380988.0,32736.0,414374.0,0.9194302731348974
