District,Year,Enrolled,Status,Percentage
1,2018,164301.0,Absent Percentage,7.088818692521652
1,2018,241101.0,Absent Percentage,6.958494572813883
1,2018,198346.0,Absent Percentage,8.724148709830297
1,2018,165486.0,Absent Percentage,8.812830088345843
1,2018,220156.0,Absent Percentage,10.004269699667509
1,2018,154396.0,Absent Percentage,8.88753594652711
1,2018,220043.0,Absent Percentage,8.843725999009285
1,2018,176503.0,Absent Percentage,8.969819209871787
1,2018,242143.0,Absent Percentage,9.440702394865843
1,2018,153499.0,Absent Percentage,13.64504003283409
1,2019,185248.0,Absent Percentage,6.660800656417343
1,2019,218918.0,Absent Percentage,6.931819219981911
1,2019,186336.0,Absent Percentage,8.636012364760433
1,2019,164462.0,Absent Percentage,9.987109484257761
1,2019,218456.0,Absent Percentage,9.850953967847072
1,2019,164722.0,Absent Percentage,9.163924673085562
1,2019,110133.0,Absent Percentage,14.368082227851781
1,2020,104656.0,Absent Percentage,11.528244916679407
1,2020,220807.0,Absent Percentage,9.95575321434556
1,2020,189522.0,Absent Percentage,10.638342778147129
1,2020,178614.0,Absent Percentage,10.462785671895821
1,2020,199081.0,Absent Percentage,10.433943972553886
1,2020,142781.0,Absent Percentage,9.443833563289234
1,2020,207535.0,Absent Percentage,9.248078637338281
1,2020,207491.0,Absent Percentage,10.019711698338723
1,2020,196988.0,Absent Percentage,10.575771112961196
1,2020,180871.0,Absent Percentage,15.376152064178337
2,2018,918755.0,Absent Percentage,6.675446664235841
2,2018,1346336.0,Absent Percentage,6.5391551588905
2,2018,1099309.0,Absent Percentage,8.142478593370926
2,2018,913331.0,Absent Percentage,8.980533891874906
2,2018,1117039.0,Absent Percentage,9.16566028580918
2,2018,848633.0,Absent Percentage,9.053972683126863
2,2018,1208031.0,Absent Percentage,8.392913758007865
2,2018,965990.0,Absent Percentage,8.621310779614696
2,2018,1325157.0,Absent Percentage,9.287956068601682
2,2018,720591.0,Absent Percentage,12.879428136071642
2,2019,1037785.0,Absent Percentage,6.570146995765019
2,2019,1221016.0,Absent Percentage,6.723499118766667
2,2019,1037760.0,Absent Percentage,8.079421060746222
2,2019,914556.0,Absent Percentage,9.295439535687262
2,2019,1119765.0,Absent Percentage,9.24122472125848
2,2019,911809.0,Absent Percentage,9.25435041768616
2,2019,607878.0,Absent Percentage,13.276677227996409
2,2020,594232.0,Absent Percentage,10.028574698097712
2,2020,1246469.0,Absent Percentage,10.017256746858525
2,2020,1064884.0,Absent Percentage,10.063443529999512
2,2020,1001772.0,Absent Percentage,10.093913585127154
2,2020,1112904.0,Absent Percentage,10.159456700667803
2,2020,782408.0,Absent Percentage,9.221148045521007
2,2020,1164728.0,Absent Percentage,10.062435177998639
2,2020,1159175.0,Absent Percentage,11.045873142536717
2,2020,1100285.0,Absent Percentage,11.93190855096634
2,2020,970410.0,Absent Percentage,16.807431910223514
3,2018,327455.0,Absent Percentage,5.784306240552136
3,2018,481742.0,Absent Percentage,5.720904550568562
3,2018,394231.0,Absent Percentage,7.538219977627331
3,2018,328266.0,Absent Percentage,7.970060865273894
3,2018,419047.0,Absent Percentage,8.423160170577525
3,2018,304828.0,Absent Percentage,8.27253401918459
3,2018,435141.0,Absent Percentage,7.662573740465733
3,2018,347578.0,Absent Percentage,7.557152639119852
3,2018,477380.0,Absent Percentage,8.132305500858855
3,2018,281592.0,Absent Percentage,11.941035256683428
3,2019,368962.0,Absent Percentage,5.641231346317507
3,2019,434168.0,Absent Percentage,5.710922960697242
3,2019,369742.0,Absent Percentage,7.494415024530619
3,2019,326402.0,Absent Percentage,9.060606246285257
3,2019,415639.0,Absent Percentage,8.757118557209502
3,2019,325835.0,Absent Percentage,8.500314576396029
3,2019,217319.0,Absent Percentage,12.086379929964707
3,2020,204095.0,Absent Percentage,9.798868174134594
3,2020,426698.0,Absent Percentage,8.241894735855336
3,2020,364563.0,Absent Percentage,8.676141023636518
3,2020,343128.0,Absent Percentage,8.96050453475088
3,2020,381749.0,Absent Percentage,9.205787048558085
3,2020,271234.0,Absent Percentage,9.797075587868779
3,2020,399516.0,Absent Percentage,8.84945784399123
3,2020,399293.0,Absent Percentage,9.672095428670174
3,2020,378978.0,Absent Percentage,10.51274744180401
3,2020,337131.0,Absent Percentage,13.41348021985519
4,2018,188767.0,Absent Percentage,6.285526601577606
4,2018,277052.0,Absent Percentage,6.192700287310685
4,2018,226564.0,Absent Percentage,8.004360798714712
