DBN_,Economic Need Index_2019-20,Economic Need Index_2020-21,Economic Need Index_2021-22,Total Enrollment_2019-20,Total Enrollment_2020-21,Total Enrollment_2021-22,District_,Borough_
01M015,0.867,0.8640000000000001,0.879,190.0,193.0,179.0,01,M
01M019,0.7040000000000001,0.696,0.6779999999999999,236.0,212.0,176.0,01,M
01M020,0.784,0.77,0.753,464.0,412.0,351.0,01,M
01M034,0.95,0.95,0.9440000000000001,296.0,273.0,258.0,01,M
01M063,0.784,0.765,0.7040000000000001,229.0,208.0,186.0,01,M
01M064,0.9159999999999999,0.903,0.863,236.0,220.0,215.0,01,M
01M110,0.627,0.6509999999999999,0.6629999999999999,396.0,373.0,330.0,01,M
01M134,0.946,0.9420000000000001,0.95,245.0,217.0,177.0,01,M
01M140,0.9329999999999999,0.925,0.917,372.0,358.0,340.0,01,M
01M142,0.902,0.907,0.897,329.0,317.0,330.0,01,M
01M184,0.6709999999999999,0.655,0.621,707.0,721.0,717.0,01,M
01M188,0.95,0.95,0.95,398.0,370.0,390.0,01,M
01M292,0.878,0.8340000000000001,0.8420000000000001,226.0,296.0,290.0,01,M
01M315,0.382,0.39799999999999996,0.43799999999999994,330.0,297.0,302.0,01,M
01M332,0.8170000000000001,0.853,0.8490000000000001,218.0,207.0,196.0,01,M
01M361,0.536,0.546,0.521,336.0,304.0,283.0,01,M
01M363,0.462,0.491,0.478,306.0,270.0,247.0,01,M
01M364,0.5720000000000001,0.607,0.653,344.0,291.0,239.0,01,M
01M378,0.8540000000000001,0.9,0.875,204.0,185.0,167.0,01,M
01M448,0.85,0.831,0.802,492.0,570.0,522.0,01,M
01M450,0.653,0.647,0.65,680.0,681.0,701.0,01,M
01M458,0.895,0.907,0.924,181.0,149.0,138.0,01,M
01M515,0.95,0.95,0.941,531.0,481.0,464.0,01,M
01M539,0.29100000000000004,0.287,0.256,1806.0,1791.0,1640.0,01,M
01M650,0.9,0.8859999999999999,0.9009999999999999,168.0,167.0,139.0,01,M
01M696,0.425,0.409,0.436,613.0,636.0,614.0,01,M
01M839,0.642,0.626,0.63,358.0,354.0,322.0,01,M
02M001,0.8170000000000001,0.815,0.815,247.0,233.0,219.0,02,M
02M002,0.9209999999999999,0.909,0.87,449.0,421.0,358.0,02,M
02M003,0.213,0.22399999999999998,0.21,714.0,600.0,570.0,02,M
02M006,0.086,0.08800000000000001,0.087,648.0,592.0,573.0,02,M
02M011,0.39,0.354,0.377,900.0,806.0,731.0,02,M
02M033,0.496,0.475,0.496,612.0,555.0,510.0,02,M
02M040,0.115,0.141,0.183,700.0,634.0,596.0,02,M
02M041,0.086,0.10400000000000001,0.07200000000000001,668.0,533.0,494.0,02,M
02M042,0.787,0.73,0.648,557.0,541.0,525.0,02,M
02M047,0.818,0.8240000000000001,0.83,232.0,222.0,236.0,02,M
02M051,0.627,0.611,0.5720000000000001,488.0,467.0,430.0,02,M
02M059,0.091,0.09,0.11,638.0,587.0,541.0,02,M
02M077,0.113,0.09300000000000001,0.09699999999999999,362.0,351.0,346.0,02,M
02M089,0.1,0.078,0.106,454.0,340.0,347.0,02,M
02M104,0.452,0.433,0.389,1101.0,1017.0,906.0,02,M
02M111,0.619,0.638,0.62,438.0,396.0,330.0,02,M
02M114,0.145,0.16,0.191,457.0,435.0,417.0,02,M
02M116,0.368,0.366,0.3,500.0,410.0,381.0,02,M
02M124,0.608,0.579,0.552,676.0,652.0,595.0,02,M
02M126,0.7859999999999999,0.754,0.7709999999999999,714.0,677.0,600.0,02,M
02M130,0.569,0.555,0.512,796.0,749.0,638.0,02,M
02M131,0.852,0.889,0.88,304.0,252.0,226.0,02,M
02M135,0.8109999999999999,0.813,0.8,256.0,272.0,291.0,02,M
02M139,0.835,0.8420000000000001,0.833,416.0,406.0,401.0,02,M
02M150,0.11,0.11699999999999999,0.11,190.0,180.0,156.0,02,M
02M151,0.397,0.381,0.371,475.0,425.0,380.0,02,M
02M158,0.109,0.087,0.11,804.0,667.0,651.0,02,M
02M167,0.284,0.295,0.265,1346.0,1275.0,1150.0,02,M
02M177,0.27399999999999997,0.24100000000000002,0.285,227.0,240.0,222.0,02,M
02M183,0.064,0.068,0.068,604.0,541.0,514.0,02,M
02M198,0.35600000000000004,0.355,0.39299999999999996,491.0,460.0,415.0,02,M
02M212,0.297,0.35600000000000004,0.359,370.0,328.0,289.0,02,M
02M217,0.261,0.207,0.212,640.0,620.0,688.0,02,M
02M225,0.37,0.35200000000000004,0.344,332.0,343.0,319.0,02,M
02M234,0.10099999999999999,0.122,0.10099999999999999,638.0,466.0,454.0,02,M
02M255,0.146,0.172,0.212,383.0,361.0,340.0,02,M
02M260,0.222,0.21,0.20600000000000002,776.0,791.0,768.0,02,M
02M267,0.107,0.11,0.095,438.0,397.0,387.0,02,M
02M276,0.154,0.14800000000000002,0.18,854.0,791.0,725.0,02,M
02M280,0.778,0.807,0.805,445.0,460.0,466.0,02,M
02M281,0.192,0.209,0.209,422.0,459.0,458.0,02,M
02M282,0.727,0.731,0.711,435.0,484.0,510.0,02,M
02M288,0.795,0.799,0.797,379.0,417.0,427.0,02,M
02M289,0.512,0.534,0.47,276.0,263.0,236.0,02,M
02M290,0.099,0.10800000000000001,0.11599999999999999,573.0,456.0,415.0,02,M
02M294,0.68,0.652,0.625,338.0,370.0,353.0,02,M
02M296,0.88,0.8859999999999999,0.875,337.0,322.0,238.0,02,M
02M297,0.36,0.435,0.426,841.0,818.0,605.0,02,M
02M298,0.779,0.785,0.777,549.0,595.0,586.0,02,M
02M300,0.873,0.86,0.858,263.0,257.0,238.0,02,M
02M303,0.873,0.8640000000000001,0.86,350.0,331.0,334.0,02,M
02M305,0.8759999999999999,0.879,0.841,322.0,349.0,341.0,02,M
02M308,0.8640000000000001,0.883,0.856,314.0,346.0,338.0,02,M
02M312,0.359,0.295,0.304,603.0,574.0,534.0,02,M
02M313,0.856,0.8859999999999999,0.899,234.0,210.0,161.0,02,M
02M316,0.879,0.893,0.87,178.0,147.0,115.0,02,M
02M340,0.14800000000000002,0.166,0.157,400.0,355.0,342.0,02,M
02M343,0.162,0.18600000000000003,0.17800000000000002,458.0,424.0,374.0,02,M
02M347,0.6940000000000001,0.7090000000000001,0.738,181.0,192.0,182.0,02,M
02M374,0.813,0.79,0.759,449.0,483.0,518.0,02,M
02M376,0.39399999999999996,0.41700000000000004,0.475,465.0,489.0,466.0,02,M
02M391,0.17800000000000002,0.20199999999999999,0.165,556.0,527.0,431.0,02,M
02M392,0.8590000000000001,0.866,0.8809999999999999,406.0,404.0,402.0,02,M
02M393,0.8190000000000001,0.867,0.858,428.0,447.0,457.0,02,M
02M394,0.95,0.95,0.95,307.0,246.0,275.0,02,M
02M397,0.179,0.213,0.222,561.0,492.0,446.0,02,M
02M399,0.873,0.83,0.7979999999999999,274.0,239.0,212.0,02,M
02M400,0.787,0.767,0.7340000000000001,1133.0,1185.0,1098.0,02,M
02M407,0.368,0.358,0.35100000000000003,489.0,496.0,493.0,02,M
02M408,0.376,0.36700000000000005,0.39399999999999996,577.0,563.0,552.0,02,M
02M411,0.384,0.358,0.42200000000000004,487.0,492.0,480.0,02,M
02M412,0.278,0.293,0.35100000000000003,514.0,483.0,484.0,02,M
02M413,0.44299999999999995,0.40299999999999997,0.396,717.0,735.0,727.0,02,M
02M414,0.505,0.42700000000000005,0.425,454.0,443.0,497.0,02,M
02M416,0.19,0.17600000000000002,0.27899999999999997,541.0,546.0,539.0,02,M
02M418,0.506,0.514,0.47200000000000003,674.0,698.0,649.0,02,M
02M419,0.871,0.872,0.8540000000000001,335.0,368.0,354.0,02,M
02M420,0.7659999999999999,0.778,0.7709999999999999,1822.0,1780.0,1706.0,02,M
